Dataset,XGBoost Accuracy,Gradient Boosting Accuracy,XGBoost Surrogate Accuracy,Gradient Boosting Surrogate Accuracy,Spearman Fidelity,Fidelity
DAM,0.9523809523809523,0.9682539682539683,0.9682539682539683,0.9682539682539683,,0.9682539682539683
LAL,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,,0.9523809523809523
DAL,0.9206349206349206,0.8888888888888888,0.8888888888888888,0.8888888888888888,,0.8888888888888888
HAW,0.9365079365079365,0.9523809523809523,0.9523809523809523,0.9523809523809523,,0.9523809523809523
ANF,0.8571428571428571,0.8253968253968254,0.8253968253968254,0.8253968253968254,,0.8253968253968254
DAL2,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,,0.9523809523809523
DAM2,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.8095238095238095,,0.8095238095238095
GAW,0.9365079365079365,0.9206349206349206,0.9206349206349206,0.9206349206349206,,0.9206349206349206
GID,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8571428571428571,,0.8571428571428571
GID2,0.9047619047619048,0.8888888888888888,0.8888888888888888,0.8888888888888888,,0.8888888888888888
HAW2,0.9047619047619048,0.9365079365079365,0.9365079365079365,0.9365079365079365,,0.9365079365079365
JIM,0.8253968253968254,0.8095238095238095,0.8095238095238095,0.8095238095238095,,0.8095238095238095
KAK,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,,0.873015873015873
SAD,0.873015873015873,0.9047619047619048,0.9047619047619048,0.9047619047619048,,0.9047619047619048
SAY,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.9206349206349206,,0.9206349206349206
YEM,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9682539682539683,,0.9682539682539683
